location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
lake gaston,south hill,virginia,March,March,20,20,2005,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/bassmaster-series-virginianorth-carolin
lake lanier,buford,georgia,November,December,30,3,1983,34.1206564,-84.0043513,https://www.bassmaster.com/tournaments/1983-super-bass-ii
st. johns river,palatka,florida,March,March,23,26,1983,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/1983-super-bass
kissimmee chain of lakes,kissimmee,florida,January,January,25,27,1978,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/1978-kissimmee-florida-invitational
lake okeechobee,clewiston,florida,June,June,25,25,2006,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/okeechobee-4-clewiston-bo
arkansas river,muskogee,oklahoma,September,September,8,10,2011,35.7478769,-95.3696909,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-central-open-2
lake mead,las vegas,nevada,March,March,14,16,2002,36.1699412,-115.1398296,https://www.bassmaster.com/tournaments/2002-nevada-western-open
grand lake,grove,oklahoma,April,April,6,8,1995,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/oklahoma-invitational-2
lake guntersville,guntersville,alabama,May,May,2,4,1990,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/1990-alabama-invitational
lake eufaula,eufaula,alabama,March,March,18,21,2004,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/2004-bassmaster-tour-5
kentucky lake side,gilbertville,kentucky,August,August,20,20,2006,37.0244948,-88.3024934,https://www.bassmaster.com/tournaments/pioneer-3-gilbertville-bo
toledo bend reservoir,hemphill,texas,May,May,8,8,2005,31.3407403,-93.846852,https://www.bassmaster.com/tournaments/bassmaster-series-texas-4-bo
sam rayburn reservoir,jasper,texas,February,February,20,20,2005,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/bassmaster-series-texas-1-0
lake okeechobee,clewiston,florida,May,May,21,21,2006,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/okeechobee-3-clewiston-bo
lake okeechobee,okeechobee city,florida,February,February,5,5,2006,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/okeechobee-2-okeechobee-city-bo
lake okeechobee,okeechobee city,florida,January,January,8,8,2006,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/okeechobee-1-okeechobee-city-bo
lake mead,las vegas,nevada,March,March,15,17,2001,36.1699412,-115.1398296,https://www.bassmaster.com/tournaments/2001-nevada-western-invitational
elephant butte reservoir,elephant butte,new mexico,September,October,30,2,1999,33.1770471,-107.2252675,https://www.bassmaster.com/tournaments/new-mexico-invitational-0
elephant butte reservoir,truth or consequences,new mexico,April,April,2,4,1998,33.1284047,-107.2528069,https://www.bassmaster.com/tournaments/1998-new-mexico-western-invitational
lake oroville,oroville,california,November,November,11,13,1999,39.5137752,-121.556359,https://www.bassmaster.com/tournaments/california-invitational-1
california delta waterway,stockton,california,October,October,2,4,1997,37.9577016,-121.2907796,https://www.bassmaster.com/tournaments/1997-california-western-invitational
lake havasu,lake havasu city,arizona,January,January,15,17,1998,34.483901,-114.3224548,https://www.bassmaster.com/tournaments/1998-arizona-western-invitational
lake powell,page,arizona,November,November,20,22,1997,36.91472220000001,-111.4558333,https://www.bassmaster.com/tournaments/1997-arizona-western-invitational
barkley lake side,eddyville,kentucky,May,May,7,7,2006,37.09449710000001,-88.080301,https://www.bassmaster.com/tournaments/pioneer-2-eddyville-bo
clarks hill reservoir,thomason,georgia,November,November,10,12,2005,33.4706927,-82.50457329999999,https://www.bassmaster.com/tournaments/bassmaster-series-regionals-4-bo
kentucky and barkley lakes,buchanan,tennessee,September,September,4,4,2005,36.436999900000004,-88.2083713,https://www.bassmaster.com/tournaments/bassmaster-series-tennesseekentucky-5-bo
kentucky and barkley lakes,buchanan,tennessee,June,June,26,26,2005,36.436999900000004,-88.2083713,https://www.bassmaster.com/tournaments/bassmaster-series-tennesseekentucky-4-bo
sam rayburn reservoir,jasper,texas,April,April,10,10,2005,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/bassmaster-series-texas-3-bo
center hill lake,lancaster,tennessee,April,April,10,10,2005,36.1278556,-85.8552893,https://www.bassmaster.com/tournaments/bassmaster-series-tennesseekentucky-2-bo
old hickory lake,hendersonville,tennessee,May,May,1,1,2005,36.3047735,-86.6199957,https://www.bassmaster.com/tournaments/bassmaster-series-tennesseekentucky-3
percy priest reservoir,smyrna,tennessee,March,March,13,13,2005,35.9828412,-86.5186045,https://www.bassmaster.com/tournaments/bassmaster-series-tennesseekentucky-1
toledo bend reservoir,hemphill,texas,March,March,6,6,2005,31.3407403,-93.846852,https://www.bassmaster.com/tournaments/bassmaster-series-texas-2
lake hamilton,hot springs,arkansas,May,May,1,4,2003,34.5037004,-93.0551795,https://www.bassmaster.com/tournaments/2003-bassmaster-tour-9
lake st. clair,detroit,michigan,August,August,25,28,1999,42.331427,-83.0457538,https://www.bassmaster.com/tournaments/1999-michigan-bassmaster-top-150
table rock lake,branson,missouri,April,April,26,28,2012,36.6436731,-93.21851439999999,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-central-open-2
red river,shreveport,louisiana,August,August,22,24,2002,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2002-central-open-1
toledo bend reservoir,many,louisiana,February,February,20,23,2003,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/2003-bassmaster-tour-4
sam rayburn reservoir,jasper,texas,October,November,31,2,2002,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2002-central-open-3
lake ouachita,hot springs,arkansas,September,September,26,28,2002,34.5037004,-93.0551795,https://www.bassmaster.com/tournaments/2002-central-open-2
